time_to_first_click,task_completion_time,mouse_velocity_avg,cursor_straightness,scroll_reversals,repetitive_clicks,back_button_usage,text_dwell_time,cluster_label
1.3347364732860807,50.416847272485995,680.5007101725308,1.1412422772698188,0,0,1,2.8297530042466272,2
0.5953684927951854,5.0,967.4267803631376,1.0996192990029847,0,0,0,6.372626007867046,2
2.7572461995263637,37.366086096265846,720.2219246040788,1.0777180663314923,1,0,0,7.6326950789988635,2
6.871683167577469,123.16948482109215,309.0146721269972,1.1047411395942888,2,0,4,11.912616694549834,4
0.5,30.272484908382,721.0919265338499,1.1270970992546512,0,0,1,7.244330371452477,2
0.5,54.6030479628147,567.2389337611382,1.1093784667952789,1,0,0,15.53258288161954,0
5.203450187283319,92.52372456957252,208.3021640881916,1.8747940808958117,2,1,1,31.20281196844765,4
2.72060652992143,101.513114892248,503.02352394955756,1.930749210110225,2,2,1,10.875887291104565,4
4.380091354147451,56.97246923645228,481.3321037686555,1.0846915668260217,1,0,0,18.75673730575065,0
5.041785322694953,40.894141248847355,432.9624762212826,1.1776262536482685,6,2,8,19.143561258693502,3
3.1519737689733818,98.69333354290794,400.2108750155584,1.2592575872096905,2,0,1,67.29937997060576,5
0.5,16.61873731641221,517.3378792138534,1.0671777336533113,2,0,0,4.093517699159217,2
5.722271954220428,157.26200576894502,154.25107075254363,2.6326698736080365,4,1,1,24.772144911268498,1
9.476685365143886,143.0372690211484,98.3437376283537,2.764599966823094,2,3,4,26.822879054949784,1
5.9637418153349895,68.49717631465707,219.97850997789382,1.6620194147824316,3,1,0,19.976100498745488,4
3.2042112088371084,27.276515106800655,640.9529799582727,1.1190796588227236,0,0,0,3.0631757056711404,2
7.270536653855179,125.73368579254812,158.36026329092192,2.56572178897921,5,1,3,26.846681175571078,1
3.7207381223308813,93.27376554770728,437.60443180171836,1.1958210730118335,5,4,6,14.933122760161407,3
2.981104903699216,35.863784819420104,419.26972775221054,1.3564115062088948,6,8,3,2.7343681522898393,3
6.800335405340553,111.37680289257864,289.1733640911747,1.620275563239255,3,2,2,22.542603533615885,4
2.0037910653247413,64.40851907335596,831.8539201193931,1.061294235893583,2,0,0,7.370896707374488,2
2.4194765501952773,46.75286778933924,303.26749357740056,1.4111296334099583,7,0,0,21.07714906843028,0
3.412716299262998,112.36836278691013,321.4331428978409,3.8221940757336474,1,0,2,33.47478658048429,1
3.7111376715350968,109.43681972332048,515.5775347260145,1.2357184451490026,3,0,0,64.40503086758241,5
2.2396004075488887,35.02836541253294,607.0359327363815,1.094666512336698,0,0,0,7.475385782154469,2
3.177715385528721,133.2383038293771,216.1659119777736,1.3469250943429851,2,1,2,29.521410462794965,4
4.7296279900473035,72.9452634822573,298.71641332790216,1.6872195800404932,0,0,4,24.999486775885686,4
4.179302099677693,112.58151910538908,213.26778574631487,1.3969517814982362,1,0,1,30.954299461472015,5
1.9236573827362613,46.10367389805734,796.4612999760693,1.0636525506546242,2,0,0,3.402627916687803,2
7.678102987088632,127.78237382213271,194.00539043014322,2.8085871509509466,4,2,1,35.05286229932022,1
6.6644248635589705,107.81027316092967,259.4103995131298,2.740922396745564,4,3,2,25.50647584980882,1
3.6887467551126725,86.91007610255265,246.0028531230362,1.3755341924759834,2,0,0,24.821971090669724,4
3.88377491633665,115.10769388026455,566.5899738261292,1.3169870719732093,5,3,8,22.624553749887355,3
2.5302351298722607,32.18899384946728,760.2571602232352,1.1137852945323536,0,0,0,7.8226442017143185,2
4.368538401450692,119.96462871436673,504.252879216622,1.276175709524711,7,6,2,0.29127661933843996,3
2.0685705461776633,30.446258239249083,742.4556355594063,1.1320215952939892,1,0,0,9.525755958234596,2
1.677442828194485,20.72276500399387,584.35733963775,1.092596719186506,0,0,0,5.834311477103109,2
1.798412960241298,69.756061275627,394.16255242571117,1.2912042885759973,8,4,5,22.11686533472931,3
4.080780725554622,41.48078682183491,469.4389385846197,1.1578801183387086,2,0,0,17.293614226010334,0
4.80868330429302,113.34576991019036,410.6164044383194,1.6643406443406648,2,1,1,35.70342555940012,4
11.017995018898045,94.20285200467559,245.24223934516328,2.4884328644627987,5,3,4,36.399365138322544,1
3.953136633913245,55.36087651046256,389.68156187669064,1.26419471294437,2,0,0,25.504580696174557,0
8.08929769235796,64.11528728083323,175.35575509429896,1.373124283964677,1,0,2,24.458980122822652,4
1.6669104915852886,44.86761198570498,619.2095114257543,1.1616327991975046,0,0,0,0.0,2
5.260743824539882,136.16711937672687,486.39218090589895,1.174305318070622,2,2,2,28.92976631237274,4
4.501227803774224,90.1562053091172,351.9434322885444,1.199911044457255,2,0,0,58.81091235670495,5
9.796698829162299,64.34789751830829,284.14013599675013,2.8801790968744863,3,1,1,28.204824025472085,1
9.554775795299939,133.40038884152017,175.82141025466535,2.895380723809224,1,2,1,26.43881598996866,1
8.37428357401631,118.29162556084822,259.2518527041947,1.5005155624352868,3,2,4,11.96599548489629,1
5.086620917632835,78.24772766529308,280.0344378092347,1.6041975565039466,8,1,2,23.89194304114199,4
2.2140105394920506,29.385067775581405,661.8787639660868,1.3249710420184317,2,0,0,13.950385051357799,0
7.122954432816856,115.25319794504345,151.47125840735114,1.6800570295648205,7,1,3,23.521755822109533,4
8.79031330595216,110.53128650980021,146.39522513077281,2.945283354028379,5,1,3,26.202251529017808,1
3.2331845131253303,5.018931201899388,431.37703187279953,1.086943615910398,1,0,1,8.496319333199192,2
2.681496279928097,104.39253113868197,478.1587280833467,1.3529474514437934,2,0,1,76.41247012772729,5
0.5,57.35782191822154,575.9514887486108,1.184216249015974,4,0,0,18.65397295156849,0
10.109165604770176,130.85501730533318,113.08800907187049,4.174449005739238,2,1,0,49.74907943011005,1
4.587369097825432,59.89749101897681,457.12616194802735,1.399185404857609,10,4,5,28.01585467884355,3
6.658692342166968,84.7485005006341,469.8679223547561,1.0,9,4,4,24.08422934729642,3
4.865516669681742,89.7384364564503,417.3637419053815,1.4896380195544419,11,2,4,31.22040866347357,3
3.73403446541425,91.69574515359236,536.4421535320082,1.2648849965783264,2,0,2,60.4161098989121,5
2.09609235853521,41.21992100981783,445.2094695793065,1.207843924608367,3,0,0,11.814564000306557,0
7.236028066837582,89.47987566822317,281.7232849504313,1.6354543384754963,2,1,1,19.898086642023543,4
1.8400458478207005,49.83581026303021,805.9866746071374,1.1411338578614507,1,0,0,2.81181599912282,2
5.504502489635477,85.5836008258098,407.2623198733317,1.5172662915522481,1,0,4,66.22742184956941,5
2.617940328869783,15.411376232082468,727.7170373983229,1.1155414132631762,0,0,0,8.88826053459676,2
2.131040536776311,104.2128097689889,175.13009480984363,3.246149032320874,8,0,1,25.664780832071145,1
2.448402588666894,39.4183246866229,869.1073552388614,1.0241512931559649,1,0,0,6.783349859663906,2
5.000220262581086,97.84299786004081,561.5444623413398,1.220189574015901,2,0,1,22.595615874515744,5
2.6317917015834578,76.50719569643789,355.1611153372255,1.2677532328928411,10,5,3,27.71419204170832,3
3.999235645316282,114.7154500733465,282.10345174010666,1.6480186830451267,4,0,3,26.616987435251666,4
